date,state,lat_1,u_1,lat_2,u_2,interjet_min
2021-06-07,single,37.0,18.852121526544746,,,
2021-06-08,double,35.5,19.477461034601387,52.75,23.16068319840865,9.238286191766912
2021-06-09,double,24.0,16.102962147105824,50.0,25.209419423883613,8.574693766507236
2021-06-10,double,25.0,17.355849179354582,49.25,21.26733935963024,7.411409334702925
2021-06-11,double,25.75,19.347977378151633,55.75,26.62737343528054,6.03070103038441
2021-06-12,double,24.75,20.488538568670098,58.75,22.647825587879527,2.0360800461335615
2021-06-13,double,24.75,19.330117659135297,58.0,21.95819195834073,4.893869313326749
2021-06-14,double,24.5,18.52710567821156,59.5,26.708206350153144,6.20262471112338
2021-06-15,double,24.0,16.72865278070623,60.75,25.182899821888316,4.668072180314497
2021-06-16,single,61.5,24.88049853931774,,,
2021-06-17,single,59.0,24.18575026772239,,,
2021-06-18,single,59.75,23.60095145485618,,,
